arm,stratum,k,age,dropped,regime,mechanisms,target_frac,n_top,b1,b2,n_dropped,lev_hit,lam_ratio
C,0,8,3.0,"[2, 11, 17, 18, 19, 21, 36, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.040139485056787855,0.9990732605454283
C,0,8,3.0,"[1, 6, 9, 20, 23, 35, 36, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.23902033879450674,0.9915209983664183
C,0,8,3.0,"[0, 4, 16, 30, 34, 40, 43, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.2378974536875573,0.9913066924244464
C,0,8,3.0,"[1, 5, 18, 24, 26, 32, 37, 38]",,,,,0.8222222222222222,0.5333333333333333,8,0.2677874952415754,4.894265214402429e-13
C,0,8,3.0,"[0, 12, 13, 18, 27, 31, 38, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.027731022463745234,0.9988012498630354
C,0,8,3.0,"[2, 8, 12, 13, 22, 30, 39, 41]",,,,,0.8222222222222222,0.5333333333333333,8,0.20113720864256557,0.7835121143891294
C,0,8,3.0,"[11, 21, 26, 30, 36, 37, 38, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.06599757806471783,0.9958135704662394
C,0,8,3.0,"[6, 15, 24, 26, 31, 36, 38, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.07359580046579889,4.894265407788812e-13
C,0,8,3.0,"[0, 1, 3, 11, 19, 21, 24, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.2747524996381234,0.9541257801128088
C,0,8,3.0,"[7, 8, 12, 14, 24, 28, 29, 31]",,,,,0.8222222222222222,0.5333333333333333,8,0.3929713341011464,0.7790947328489269
C,0,8,3.0,"[7, 13, 17, 19, 22, 29, 30, 38]",,,,,0.8222222222222222,0.5333333333333333,8,0.17714954560127272,0.996186758856724
C,0,8,3.0,"[6, 9, 15, 19, 25, 34, 38, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.05933984286630168,0.9957309760518129
C,0,8,3.0,"[2, 4, 8, 22, 27, 28, 35, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.3803605127535456,0.7798074007535315
C,0,8,3.0,"[0, 10, 18, 21, 27, 29, 30, 34]",,,,,0.8222222222222222,0.5333333333333333,8,0.016773528329037158,0.999480943616123
C,0,8,3.0,"[7, 11, 19, 20, 21, 36, 40, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.22455194777953577,0.9953772290759458
C,0,8,3.0,"[2, 19, 22, 24, 26, 29, 37, 38]",,,,,0.8222222222222222,0.5333333333333333,8,0.07301189173852853,4.894265690780066e-13
C,0,8,3.0,"[0, 4, 13, 18, 19, 30, 39, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.21748903639756495,0.9924781490473625
C,0,8,3.0,"[9, 12, 18, 24, 27, 30, 33, 42]",,,,,0.8222222222222222,0.5333333333333333,8,0.0641499407305979,0.9959195936805396
C,0,8,3.0,"[0, 7, 13, 15, 18, 32, 35, 38]",,,,,0.8222222222222222,0.5333333333333333,8,0.19331752563224008,0.9952993139880638
C,0,8,3.0,"[0, 1, 13, 17, 29, 33, 37, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.20867350929040002,0.9926287934886943
C,0,8,3.0,"[5, 7, 9, 13, 18, 30, 35, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.20279680347991846,0.9956686660277975
C,0,8,3.0,"[0, 2, 14, 18, 19, 29, 35, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.02121528296677454,0.9991031335987806
C,0,8,3.0,"[11, 14, 24, 26, 28, 33, 38, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.10074930645379428,4.894265478193084e-13
C,0,8,3.0,"[10, 12, 21, 22, 31, 34, 38, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.00306332498120137,0.9997386363503663
C,0,8,3.0,"[5, 13, 17, 24, 29, 32, 40, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.04286191792493087,0.9966114676155278
C,0,8,3.0,"[3, 8, 12, 19, 21, 25, 37, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.23664216459505505,0.7818604311913359
C,0,8,3.0,"[8, 13, 14, 16, 25, 26, 40, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.30566765260857254,4.859308117230255e-13
C,0,8,3.0,"[1, 7, 9, 23, 28, 31, 33, 35]",,,,,0.8222222222222222,0.5333333333333333,8,0.3771830952196156,0.9891921201115402
C,0,8,3.0,"[3, 11, 12, 25, 26, 29, 36, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.11079904190950803,4.859307853340012e-13
C,0,8,3.0,"[2, 6, 14, 24, 29, 30, 35, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.03661030875945319,0.9961695140341411
C,0,8,3.0,"[9, 10, 11, 13, 26, 35, 42, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.09522345241101554,0.9953387257724449
C,0,8,3.0,"[0, 6, 8, 18, 22, 23, 42, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.20725391988146896,0.7807896771488037
