event_id,arm,regime,stratum,configured_b1,configured_b2,lev_hit,precomputed_lam_ratio,expected_availability,mean_configured_age,mean_freshness,lam_min,lam_ratio,observability_loss,u_lmax,u_trace
59,C,,0,0.8222222222222222,0.5333333333333333,0.0065991854409045,0.9994711502626368,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.6846815919565215,0.9994711502602184,0.0005288497397816228,2.1144026423518018e-07,6.500937915052184e-06
60,C,,0,0.8222222222222222,0.5333333333333333,0.2379100544928754,0.9917908790040522,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.640998593574323,0.9917908790025199,0.008209120997480057,3.3074923308567467e-06,6.272124179602928e-06
61,C,,0,0.8222222222222222,0.5333333333333333,0.4259647338253772,4.894265294320239e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.7837062442059543e-12,4.894265469186119e-13,0.9999999999995106,0.3999781661248581,0.11835872110729503
62,C,,0,0.8222222222222222,0.5333333333333333,0.2346150669065492,0.7830526199184833,0.8222222222222222,0.5333333333333333,0.8222222222222222,4.453760183896017,0.7830526199180936,0.2169473800819064,0.00011068000257446879,5.9430574346242114e-05
63,C,,0,0.8222222222222222,0.5333333333333333,0.0659948556015782,0.9957817724595428,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.663697556483562,0.9957817724591934,0.004218227540806585,1.6927385417151466e-06,2.066252723905496e-05
64,C,,0,0.8222222222222222,0.5333333333333333,0.0803916838992412,0.9952936891010932,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.660921489870765,0.9952936890994117,0.004706310900588262,1.8895274332140371e-06,5.251013385312437e-06
65,C,,0,0.8222222222222222,0.5333333333333333,0.1105373097848285,4.902680275734712e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.7884922573898503e-12,4.902680157018129e-13,0.9999999999995097,0.3999781661245212,0.11830363852487483
66,C,,0,0.8222222222222222,0.5333333333333333,0.2453981144825922,0.9922416332817754,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.643562343959388,0.992241633280467,0.007758366719533005,3.124462782543594e-06,3.062562180259528e-06
67,C,,0,0.8222222222222222,0.5333333333333333,0.2249900484493565,0.9899591233081726,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.630580135883727,0.9899591233054741,0.010040876694525913,4.0529930671326084e-06,3.2309711476022172e-06
68,C,,0,0.8222222222222222,0.5333333333333333,0.2587648762418102,4.859307861801619e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.7638234050523358e-12,4.859307796011557e-13,0.999999999999514,0.39997816612625764,0.11836467239790938
